year,top_charge,indicator,disposition,white_n,white_perc,black_n,black_perc,hispanic_n,hispanic_perc,other_n,other_perc,total_n,total_perc
2017,Violent Felony,Youthful Offender Adjudications,Misdemeanors,8,0.022727272727272728,6,0.011342155009451795,0,0,0,0,14,0.014861995753715497
2017,Violent Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2017,Violent Felony,Sentences,Prison,73,0.20738636363636365,119,0.22495274102079396,15,0.35714285714285715,3,0.15789473684210525,210,0.2229299363057325
2017,Violent Felony,Sentences,Jail,17,0.048295454545454544,41,0.07750472589792061,5,0.11904761904761905,1,0.052631578947368425,64,0.06794055201698514
2017,Violent Felony,Sentences,Time Served,6,0.017045454545454544,19,0.035916824196597356,2,0.047619047619047616,2,0.10526315789473685,29,0.030785562632696394
2017,Violent Felony,Sentences,Jail+Probation,17,0.048295454545454544,23,0.043478260869565216,2,0.047619047619047616,1,0.052631578947368425,43,0.04564755838641189
2017,Violent Felony,Sentences,Probation,49,0.13920454545454544,79,0.1493383742911153,9,0.21428571428571427,5,0.2631578947368421,142,0.15074309978768577
2017,Violent Felony,Sentences,Fine,4,0.011363636363636364,3,0.005671077504725897,0,0,0,0,7,0.007430997876857749
2017,Violent Felony,Sentences,Cond Discharge,47,0.13352272727272727,65,0.12287334593572778,3,0.07142857142857144,0,0,115,0.12208067940552017
2017,Violent Felony,Sentences,Other/Unknown,0,0,1,0.001890359168241966,0,0,0,0,1,0.0010615711252653928
2017,Drug Felony,Overall,Total Dispositions,151,1,315,1,51,1,9,1,526,1
2017,Drug Felony,Overall,Convicted-Sentenced,98,0.6490066225165563,196,0.6222222222222222,33,0.6470588235294117,5,0.5555555555555556,332,0.6311787072243346
2017,Drug Felony,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2017,Drug Felony,Overall,Covered by Another Case,6,0.039735099337748346,31,0.09841269841269842,3,0.05882352941176471,1,0.1111111111111111,41,0.0779467680608365
2017,Drug Felony,Overall,Dismissed-ACD,24,0.15894039735099338,28,0.08888888888888889,8,0.1568627450980392,1,0.1111111111111111,61,0.11596958174904942
2017,Drug Felony,Overall,Dismissed-Not ACD,20,0.13245033112582782,56,0.17777777777777778,7,0.1372549019607843,1,0.1111111111111111,84,0.1596958174904943
2017,Drug Felony,Overall,Acquitted,0,0,0,0,0,0,0,0,0,0
2017,Drug Felony,Overall,DA Declined to Prosecute,0,0,0,0,0,0,0,0,0,0
2017,Drug Felony,Overall,Other,3,0.019867549668874173,4,0.012698412698412698,0,0,1,0.1111111111111111,8,0.01520912547528517
2017,Drug Felony,Adult Non-YO Convictions,Felonies,51,0.33774834437086093,134,0.4253968253968254,27,0.5294117647058824,4,0.4444444444444444,216,0.41064638783269963
2017,Drug Felony,Adult Non-YO Convictions,Misdemeanors,38,0.25165562913907286,57,0.18095238095238095,4,0.0784313725490196,1,0.1111111111111111,100,0.19011406844106463
2017,Drug Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,8,0.05298013245033113,3,0.009523809523809523,0,0,0,0,11,0.02091254752851711
2017,Drug Felony,Youthful Offender Adjudications,Felonies,0,0,1,0.0031746031746031746,1,0.0196078431372549,0,0,2,0.0038022813688212923
2017,Drug Felony,Youthful Offender Adjudications,Misdemeanors,1,0.006622516556291392,1,0.0031746031746031746,1,0.0196078431372549,0,0,3,0.005703422053231939
2017,Drug Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2017,Drug Felony,Sentences,Prison,26,0.17218543046357618,90,0.28571428571428575,15,0.29411764705882354,2,0.2222222222222222,133,0.25285171102661597
2017,Drug Felony,Sentences,Jail,8,0.05298013245033113,18,0.05714285714285714,3,0.05882352941176471,0,0,29,0.055133079847908745
2017,Drug Felony,Sentences,Time Served,5,0.033112582781456956,20,0.06349206349206349,1,0.0196078431372549,0,0,26,0.049429657794676805
2017,Drug Felony,Sentences,Jail+Probation,7,0.04635761589403973,5,0.015873015873015872,2,0.0392156862745098,1,0.1111111111111111,15,0.028517110266159697
2017,Drug Felony,Sentences,Probation,19,0.12582781456953643,37,0.11746031746031745,9,0.17647058823529413,1,0.1111111111111111,66,0.12547528517110265
2017,Drug Felony,Sentences,Fine,5,0.033112582781456956,1,0.0031746031746031746,0,0,0,0,6,0.011406844106463879
