ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",54.99999999999999,"Onondaga County, NY","05000US36067","onondaga-county-ny",33,0.00007048330186503088
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",1987.0150980805354,"Onondaga County, NY","05000US36067","onondaga-county-ny",11304,0.02414373467522149
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",295,"Onondaga County, NY","05000US36067","onondaga-county-ny",338,0.0007219198797084981
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",295,"Onondaga County, NY","05000US36067","onondaga-county-ny",363738,0.7768925834479576
0,"White Alone",1,"Hispanic or Latino",2014,"2014",1742,"Onondaga County, NY","05000US36067","onondaga-county-ny",11274,0.024079658946253277
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",656,"Onondaga County, NY","05000US36067","onondaga-county-ny",17593,0.037576143324590555
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",1181.6818522766607,"Onondaga County, NY","05000US36067","onondaga-county-ny",3119,0.006661739955061556
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",189,"Onondaga County, NY","05000US36067","onondaga-county-ny",0,0
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",1690,"Onondaga County, NY","05000US36067","onondaga-county-ny",51008,0.10894582610701502
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",865.9999999999999,"Onondaga County, NY","05000US36067","onondaga-county-ny",2268,0.004844125109996668
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",648,"Onondaga County, NY","05000US36067","onondaga-county-ny",2666,0.005691874454244033
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",1203,"Onondaga County, NY","05000US36067","onondaga-county-ny",1322,0.002822452373784926
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",2335.0856515340074,"Onondaga County, NY","05000US36067","onondaga-county-ny",12573,0.02684318736429491
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",687,"Onondaga County, NY","05000US36067","onondaga-county-ny",16445,0.03510985573895091
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",688,"Onondaga County, NY","05000US36067","onondaga-county-ny",662,0.0014133611735594712
0,"White Alone",1,"Hispanic or Latino",2013,"2013",1762,"Onondaga County, NY","05000US36067","onondaga-county-ny",11396,0.024330308057226184
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",193,"Onondaga County, NY","05000US36067","onondaga-county-ny",0,0
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",1580,"Onondaga County, NY","05000US36067","onondaga-county-ny",365189,0.7796736459380811
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",958.6000208637594,"Onondaga County, NY","05000US36067","onondaga-county-ny",2520,0.005380166400860827
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",1454,"Onondaga County, NY","05000US36067","onondaga-county-ny",4178,0.00891997429476053
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",941.9999999999999,"Onondaga County, NY","05000US36067","onondaga-county-ny",2155,0.00460089626740281
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",51,"Onondaga County, NY","05000US36067","onondaga-county-ny",36,0.00007685952001229752
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",1832,"Onondaga County, NY","05000US36067","onondaga-county-ny",49200,0.10504134401680662
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",73,"Onondaga County, NY","05000US36067","onondaga-county-ny",45,0.0000960744000153719
